job_title,job_company,job_location,job_time,job_antiquity,job_type,job_url,job_sector,job_role
Jr. Developer,Avature,"La Plata, Provincia de Buenos Aires, Argentina",Hace 4 semanas,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/jr-developer-at-avature-2323570941?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=YQbT1aPzRdIPZVUOEqAh4w%3D%3D&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Python Developer ( remoto),ZonaJobs,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 semanas,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/python-developer-remoto-at-zonajobs-2337075452?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=R1HeiFzjMK5UcbtfbNpIBA%3D%3D&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Data Scientist,Nestlé,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 días,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/data-scientist-at-nestl%C3%A9-2332197504?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=ywQ3Jv2sSNxP5TH7L6YlfQ%3D%3D&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Artículos de consumo,Análisis
Backend Python Developer,Nubi,"Vicente López, Provincia de Buenos Aires, Argentina",Hace 2 meses,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/backend-python-developer-at-nubi-2292017858?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=zHZMrZh4IzIqrSx29R7%2FkQ%3D%3D&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Technical Solutions Consultant,Google,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 semanas,No corresponde,Jornada completa,https://ar.linkedin.com/jobs/view/technical-solutions-consultant-at-google-2272639721?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=2LjYxbRmpF7JxPB2Xao24A%3D%3D&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicio de información,Tecnología de la información
Desarrolladora / Desarrollador de Software Backend para IT BOOTCAMP,Mercado Libre,Argentina,Hace 1 semana,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/desarrolladora-desarrollador-de-software-backend-para-it-bootcamp-at-mercado-libre-2314359497?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=%2FZ7BETnB0SChWNXSRE7F9g%3D%3D&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Internet,Tecnología de la información
"Lead Python Engineer, Machine Learning",ASAPP,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 semanas,Algo de responsabilidad,Jornada completa,https://ar.linkedin.com/jobs/view/lead-python-engineer-machine-learning-at-asapp-2295400332?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=9YrvX44UILX0vM372UNiaw%3D%3D&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Desarrollador Big Data (Python),TalentPro - Human Resources,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 1 mes,Intermedio,Jornada completa,https://ar.linkedin.com/jobs/view/desarrollador-big-data-python-at-talentpro-human-resources-2272350171?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=qULe869oJVyeH%2BBVjpd4Xw%3D%3D&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Data Scientist Ssr (python/R),Baires HR,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 3 semanas,Intermedio,Jornada completa,https://ar.linkedin.com/jobs/view/data-scientist-ssr-python-r-at-baires-hr-2313387068?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=c7F%2FdI%2FpKBjnyJgLaPU%2B%2Bg%3D%3D&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Senior Python Engineer,GetWith,Buenos Aires y alrededores,Hace 2 semanas,Algo de responsabilidad,Jornada completa,https://ar.linkedin.com/jobs/view/senior-python-engineer-at-getwith-2300317917?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=oU93Ax8lDUSLU3eB3J74pw%3D%3D&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Internet,Ingeniería
